form_diff,goal_diff_diff,scored_diff,conceded_diff,result
0.3999999999999999,2.8,3.0,0.1999999999999997,draw
0.1999999999999999,0.6,1.0,0.4,draw
0.1333333333333333,0.0,-1.0,-1.0,away_win
-0.1333333333333333,0.2,-0.3999999999999999,-0.6000000000000001,away_win
-0.3999999999999999,-3.0,-4.0,-1.0000000000000002,home_win
0.6666666666666666,4.4,2.6,-1.7999999999999998,home_win
-0.1999999999999999,0.0,-1.0,-1.0,home_win
0.2,1.0,-0.6,-1.6,draw
0.6666666666666666,4.2,2.8000000000000003,-1.4,draw
0.4,2.4,0.7999999999999998,-1.6,home_win
-0.0666666666666666,-0.6000000000000001,0.2000000000000001,0.7999999999999998,home_win
-0.5333333333333333,-4.4,-3.4000000000000004,1.0,home_win
0.4666666666666667,4.8,2.4,-2.4,home_win
-0.2,-0.6000000000000001,0.3999999999999999,1.0,away_win
-0.2,0.3999999999999999,0.6000000000000001,0.2000000000000001,home_win
0.3333333333333333,0.4000000000000001,-0.8000000000000003,-1.2,home_win
-0.3333333333333333,-3.2,-0.2000000000000001,3.0000000000000004,draw
-0.2,-2.0,-1.8,0.2000000000000001,away_win
0.4666666666666667,3.4,0.7999999999999999,-2.6,draw
0.0,2.4,0.0,-2.3999999999999995,draw
-0.1999999999999999,-2.2,-1.0,1.2000000000000002,home_win
-0.1999999999999999,0.8,0.1999999999999999,-0.6000000000000001,home_win
0.1999999999999999,1.0,0.7999999999999998,-0.2000000000000001,draw
0.3999999999999999,2.4,1.2000000000000002,-1.2000000000000002,home_win
0.0,0.0,-0.5999999999999999,-0.6000000000000001,away_win
0.2,0.6000000000000001,-0.1999999999999999,-0.7999999999999999,home_win
0.2,0.6,0.3999999999999999,-0.2000000000000001,away_win
0.0,0.4,-0.3999999999999999,-0.8,away_win
0.2666666666666667,3.0,2.8,-0.1999999999999999,home_win
-0.3333333333333333,-2.8,-1.6,1.2000000000000002,draw
0.1999999999999999,-0.2,-0.1999999999999999,0.0,away_win
0.0,0.3999999999999999,0.3999999999999999,0.0,home_win
-0.4,-1.2,-0.3999999999999999,0.8,home_win
0.8,6.4,5.0,-1.4,home_win
-0.0666666666666666,0.8,0.4000000000000001,-0.3999999999999999,home_win
0.4,4.2,1.6,-2.6,home_win
-0.4666666666666667,-3.0,-2.6,0.3999999999999999,away_win
0.0,-1.2,-0.6000000000000001,0.6000000000000001,home_win
-0.1999999999999999,-0.4,-0.1999999999999997,0.1999999999999997,home_win
0.5333333333333333,1.8,1.4,-0.3999999999999999,home_win
-0.1999999999999999,-0.8,-0.3999999999999999,0.3999999999999999,home_win
0.6,3.2,1.6,-1.6,home_win
-0.8666666666666667,-6.199999999999999,-2.6,3.6000000000000005,away_win
0.2,3.2,0.3999999999999999,-2.8,home_win
-0.4,-2.8,-1.4,1.4,away_win
0.6,3.6,1.4,-2.2,home_win
0.6,3.8,2.0,-1.8000000000000005,home_win
0.5333333333333333,3.4,1.8000000000000005,-1.6,home_win
-0.1333333333333334,-0.8,-0.6000000000000001,0.1999999999999999,draw
0.5333333333333334,2.6,1.6,-1.0,away_win
-0.1333333333333333,-0.5999999999999999,-0.3999999999999999,0.2,home_win
0.1333333333333333,0.5999999999999999,0.3999999999999999,-0.2,away_win
0.4666666666666666,1.0,0.1999999999999999,-0.7999999999999999,home_win
0.1999999999999999,0.8,0.3999999999999999,-0.3999999999999999,away_win
-0.3333333333333333,-4.4,-1.8,2.6000000000000005,draw
-0.4666666666666666,-1.0,-0.1999999999999999,0.7999999999999999,away_win
-0.7333333333333334,-2.8,-1.6,1.2,home_win
0.6666666666666667,4.0,2.2,-1.7999999999999998,home_win
-0.8666666666666667,-3.8,-1.8,2.0,home_win
0.1999999999999999,0.0,0.0,0.0,draw
0.0,-0.8,-0.3999999999999999,0.3999999999999999,draw
0.3333333333333333,0.6000000000000001,0.3999999999999999,-0.1999999999999999,draw
-0.2,-0.8,-0.4000000000000001,0.4000000000000001,home_win
-0.5333333333333333,-4.800000000000001,-2.4,2.4,away_win
-0.2,-1.6,-0.7999999999999998,0.7999999999999998,away_win
-0.6000000000000001,-2.8,-1.4,1.4,away_win
0.6000000000000001,3.0,1.6,-1.4,home_win
0.4,4.8,2.2,-2.6,draw
-0.6000000000000001,-2.8,-1.4,1.4,home_win
-0.2,-2.4,-1.0,1.4,away_win
0.3333333333333333,1.6,0.6,-1.0,home_win
0.0666666666666666,0.8,1.2000000000000002,0.3999999999999999,home_win
0.5333333333333333,3.0,1.0,-2.0,home_win
0.5333333333333333,3.6,1.8,-1.8,home_win
0.2,2.4,1.2000000000000002,-1.2000000000000002,home_win
0.2666666666666666,1.2000000000000002,0.4000000000000001,-0.8,home_win
0.2,0.6000000000000001,0.6,0.0,home_win
-0.0666666666666666,-2.2,-2.6,-0.3999999999999999,away_win
-0.2,0.1999999999999999,0.1999999999999999,0.0,home_win
0.4,2.0,0.1999999999999999,-1.8,home_win
-0.6,-3.2,-1.6,1.6,away_win
0.0666666666666666,0.8,-0.3999999999999999,-1.2,away_win
-0.0666666666666666,0.8,-0.3999999999999999,-1.1999999999999995,home_win
0.6666666666666667,2.8,1.8,-1.0000000000000002,home_win
-0.0666666666666666,-0.2,0.0,0.1999999999999999,home_win
0.8,3.6,2.2,-1.4,home_win
0.4666666666666667,5.6,1.4,-4.2,home_win
-0.6,-1.4,-0.5999999999999999,0.8,away_win
0.3333333333333333,3.8,3.2,-0.6,home_win
-0.8,-6.8,-3.2,3.6,home_win
0.4,2.0,1.4,-0.6000000000000001,draw
0.4,2.0,1.4,-0.6,home_win
-0.4,-1.8,-1.0,0.7999999999999999,draw
-0.3999999999999999,-1.4,-1.0,0.4,home_win
-0.2,-2.8,-0.4000000000000001,2.4,home_win
0.2,1.0,0.8,-0.1999999999999999,draw
